  iter           loss   elapsed_time
     0         1.8092    00:00:00:03
    10         1.7992    00:00:00:03
    20         1.7791    00:00:00:04
    30         1.7690    00:00:00:04
    40         1.7365    00:00:00:05
    50         1.7091    00:00:00:05
    60         1.7098    00:00:00:06
    70         1.6857    00:00:00:06
    80         1.6994    00:00:00:07
    90         1.6162    00:00:00:07
   100         1.6366    00:00:00:08
   110         1.5204    00:00:00:08
   120         1.3910    00:00:00:11
   130         1.3656    00:00:00:12
   140         1.6370    00:00:00:12
   150         1.4979    00:00:00:13
   160         1.4531    00:00:00:14
   170         1.4777    00:00:00:14
   180         1.2252    00:00:00:15
   190         1.5711    00:00:00:15
   200         1.4011    00:00:00:15
   210         1.2196    00:00:00:16
   220         1.4278    00:00:00:17
   230         1.3676    00:00:00:17
   240         1.3602    00:00:00:18
   250         1.2219    00:00:00:18
   260         1.1342    00:00:00:19
   270         1.2915    00:00:00:19
   280         1.1236    00:00:00:20
   290         1.3730    00:00:00:20
   300         1.4169    00:00:00:21
   310         1.4650    00:00:00:21
   320         1.1517    00:00:00:22
   330         1.3538    00:00:00:22
   340         1.2951    00:00:00:23
   350         1.4161    00:00:00:23
   360         1.3479    00:00:00:24
   370         1.2640    00:00:00:24
   380         1.3978    00:00:00:25
   390         1.4766    00:00:00:25
   400         1.3724    00:00:00:26
   410         1.4875    00:00:00:26
   420         1.2715    00:00:00:27
   430         1.4307    00:00:00:27
   440         1.0889    00:00:00:28
   450         1.0663    00:00:00:28
   460         1.2669    00:00:00:29
   470         1.7188    00:00:00:29
   480         1.3495    00:00:00:30
   490         1.4599    00:00:00:30
   500         1.2470    00:00:00:31
   510         1.3318    00:00:00:31
   520         1.4347    00:00:00:32
   530         1.1948    00:00:00:32
   540         1.3595    00:00:00:33
   550         1.4841    00:00:00:34
   560         1.2004    00:00:00:34
   570         1.4767    00:00:00:35
   580         1.4631    00:00:00:35
   590         1.3221    00:00:00:36
   600         1.5744    00:00:00:36
   610         1.3046    00:00:00:36
