 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        70.2443         0.8377        69.7432         0.8601    00:00:02:54
     2        74.0465         0.7339        73.2098         0.7639    00:00:05:46
     3        75.8314         0.6740        74.5410         0.7184    00:00:08:37
     4        77.6632         0.6262        76.4879         0.6704    00:00:11:28
     5        78.3584         0.6094        76.6598         0.6648    00:00:14:23
     6        78.7465         0.5903        77.0093         0.6546    00:00:17:13
     7        78.9502         0.5824        76.8595         0.6499    00:00:20:04
     8        80.5815         0.5392        78.4791         0.6132    00:00:22:56
     9        81.0571         0.5293        78.6011         0.6085    00:00:25:51
    10        81.0827         0.5271        78.5568         0.6094    00:00:28:41
    11        81.2863         0.5229        78.6732         0.6080    00:00:31:37
    12        81.3855         0.5204        78.6732         0.6053    00:00:34:34
    13        81.4356         0.5179        78.5956         0.6058    00:00:37:27
    14        81.5252         0.5146        78.9339         0.6021    00:00:40:18
    15        81.5603         0.5140        78.8951         0.6022    00:00:43:11
    16        81.5721         0.5141        78.8175         0.6015    00:00:46:02
    17        81.5934         0.5133        78.9062         0.6017    00:00:48:55
    18        81.5678         0.5131        78.8507         0.6017    00:00:51:49
    19        81.6073         0.5127        78.9339         0.6015    00:00:54:43
    20        81.6009         0.5126        78.9506         0.6015    00:00:57:35
