  iter           loss   elapsed_time
     0         2.3345    00:00:00:00
    10         2.2953    00:00:00:01
    20         2.2416    00:00:00:01
    30         2.2379    00:00:00:01
    40         2.2059    00:00:00:01
    50         2.1354    00:00:00:01
    60         2.1998    00:00:00:01
    70         2.1910    00:00:00:02
    80         1.9784    00:00:00:02
    90         1.9697    00:00:00:02
   100         1.9592    00:00:00:02
   110         1.5859    00:00:00:02
   120         1.6222    00:00:00:03
   130         1.5535    00:00:00:03
   140         1.5375    00:00:00:03
   150         1.4311    00:00:00:03
   160         1.2309    00:00:00:03
   170         1.2816    00:00:00:04
   180         1.2752    00:00:00:04
   190         1.3752    00:00:00:04
   200         1.4018    00:00:00:04
   210         1.2568    00:00:00:04
   220         1.0335    00:00:00:04
   230         0.9976    00:00:00:05
   240         0.9566    00:00:00:05
   250         0.8216    00:00:00:05
   260         1.0156    00:00:00:05
   270         0.6573    00:00:00:05
   280         0.8124    00:00:00:06
   290         0.9423    00:00:00:06
   300         1.0226    00:00:00:06
   310         0.7563    00:00:00:06
   320         1.1188    00:00:00:06
   330         0.7445    00:00:00:06
   340         1.0391    00:00:00:07
   350         0.6497    00:00:00:07
   360         0.5637    00:00:00:07
   370         0.7716    00:00:00:07
   380         0.6357    00:00:00:07
   390         0.6580    00:00:00:08
   400         0.7104    00:00:00:08
   410         1.0994    00:00:00:08
   420         0.6077    00:00:00:08
   430         0.7244    00:00:00:08
   440         0.5772    00:00:00:09
   450         0.6166    00:00:00:09
   460         0.6672    00:00:00:09
   470         0.6169    00:00:00:09
   480         0.8236    00:00:00:09
   490         0.7872    00:00:00:09
   500         0.6561    00:00:00:10
   510         0.6972    00:00:00:10
   520         0.4152    00:00:00:10
   530         0.8573    00:00:00:10
   540         0.3733    00:00:00:10
   550         0.4274    00:00:00:11
   560         0.7142    00:00:00:11
   570         0.5468    00:00:00:11
   580         0.5171    00:00:00:11
   590         0.8764    00:00:00:11
   600         0.6550    00:00:00:12
   610         0.5744    00:00:00:12
   620         0.6474    00:00:00:12
   630         0.3362    00:00:00:12
   640         0.7347    00:00:00:12
   650         0.4382    00:00:00:12
   660         0.4679    00:00:00:13
   670         0.5298    00:00:00:13
   680         0.6939    00:00:00:13
   690         0.4392    00:00:00:13
   700         0.5885    00:00:00:13
   710         0.4752    00:00:00:13
   720         0.6205    00:00:00:14
   730         0.3927    00:00:00:14
   740         0.4499    00:00:00:14
   750         0.6070    00:00:00:14
   760         0.4577    00:00:00:15
   770         0.4060    00:00:00:15
   780         0.4726    00:00:00:15
   790         0.5252    00:00:00:15
   800         0.3512    00:00:00:15
   810         0.4265    00:00:00:15
   820         0.7473    00:00:00:16
   830         0.6527    00:00:00:16
   840         0.5263    00:00:00:16
   850         0.4190    00:00:00:16
   860         0.4746    00:00:00:16
   870         0.6341    00:00:00:17
   880         0.6117    00:00:00:17
   890         0.3150    00:00:00:17
   900         0.4227    00:00:00:17
   910         0.4406    00:00:00:17
   920         0.3237    00:00:00:17
   930         0.6124    00:00:00:18
   938         0.3984    00:00:00:31
   948         0.4534    00:00:00:32
   958         0.4322    00:00:00:32
   968         0.5102    00:00:00:32
   978         0.9134    00:00:00:32
   988         0.2304    00:00:00:33
   998         0.3792    00:00:00:33
  1008         0.3325    00:00:00:33
  1018         0.3640    00:00:00:33
  1028         0.4934    00:00:00:33
  1038         0.6430    00:00:00:34
  1048         0.2507    00:00:00:34
  1058         0.3116    00:00:00:34
  1068         0.4585    00:00:00:34
  1078         0.2173    00:00:00:34
  1088         0.7651    00:00:00:35
  1098         0.3286    00:00:00:35
  1108         0.4675    00:00:00:35
  1118         0.3699    00:00:00:35
  1128         0.6349    00:00:00:35
  1138         0.3728    00:00:00:36
  1148         0.3133    00:00:00:36
  1158         0.3235    00:00:00:36
  1168         0.7200    00:00:00:36
  1178         0.4107    00:00:00:36
  1188         0.4075    00:00:00:37
  1198         0.4975    00:00:00:37
  1208         0.3948    00:00:00:37
  1218         0.2670    00:00:00:37
  1228         0.4764    00:00:00:37
  1238         0.4770    00:00:00:38
  1248         0.3361    00:00:00:38
  1258         0.4157    00:00:00:38
  1268         0.5775    00:00:00:38
  1278         0.4201    00:00:00:38
  1288         0.5334    00:00:00:39
  1298         0.4476    00:00:00:39
  1308         0.3752    00:00:00:39
  1318         0.3432    00:00:00:39
  1328         0.2993    00:00:00:39
  1338         0.4219    00:00:00:40
  1348         0.4803    00:00:00:40
  1358         0.3778    00:00:00:40
  1368         0.2161    00:00:00:40
  1378         0.5574    00:00:00:40
  1388         0.1713    00:00:00:41
  1398         0.3768    00:00:00:41
  1408         0.4987    00:00:00:41
  1418         0.5223    00:00:00:41
  1428         0.2692    00:00:00:41
  1438         0.5307    00:00:00:42
  1448         0.7638    00:00:00:42
  1458         0.3872    00:00:00:42
  1468         0.2487    00:00:00:42
  1478         0.4318    00:00:00:43
  1488         0.3523    00:00:00:43
  1498         0.4624    00:00:00:43
  1508         0.6102    00:00:00:43
  1518         0.4437    00:00:00:44
  1528         0.4163    00:00:00:44
  1538         0.4334    00:00:00:44
  1548         0.1677    00:00:00:44
  1558         0.2835    00:00:00:44
  1568         0.2678    00:00:00:45
  1578         0.4508    00:00:00:45
  1588         0.2503    00:00:00:45
  1598         0.4096    00:00:00:45
  1608         0.4431    00:00:00:46
  1618         0.5946    00:00:00:46
  1628         0.7261    00:00:00:46
  1638         0.4551    00:00:00:46
  1648         0.4489    00:00:00:47
  1658         0.4721    00:00:00:47
  1668         0.4494    00:00:00:47
  1678         0.5231    00:00:00:47
  1688         0.3944    00:00:00:48
  1698         0.3649    00:00:00:48
  1708         0.6720    00:00:00:48
  1718         0.2908    00:00:00:48
  1728         0.3782    00:00:00:49
  1738         0.2554    00:00:00:49
  1748         0.4659    00:00:00:49
  1758         0.3452    00:00:00:49
  1768         0.1213    00:00:00:50
  1778         0.4449    00:00:00:50
  1788         0.2523    00:00:00:50
  1798         0.2495    00:00:00:50
  1808         0.5418    00:00:00:51
  1818         0.3590    00:00:00:51
  1828         0.6352    00:00:00:51
  1838         0.2726    00:00:00:51
  1848         0.3421    00:00:00:51
  1858         0.4477    00:00:00:52
  1868         0.4250    00:00:00:52
  1876         0.4412    00:00:01:07
  1886         0.3535    00:00:01:08
  1896         0.3629    00:00:01:08
  1906         0.4491    00:00:01:08
  1916         0.2902    00:00:01:08
  1926         0.2693    00:00:01:08
  1936         0.1726    00:00:01:09
  1946         0.2676    00:00:01:09
  1956         0.5303    00:00:01:09
  1966         0.3530    00:00:01:09
  1976         0.2819    00:00:01:09
  1986         0.3062    00:00:01:10
  1996         0.1365    00:00:01:10
  2006         0.4257    00:00:01:10
  2016         0.3019    00:00:01:10
  2026         0.3981    00:00:01:10
  2036         0.2426    00:00:01:10
  2046         0.2978    00:00:01:11
  2056         0.3629    00:00:01:11
  2066         0.4173    00:00:01:11
  2076         0.3832    00:00:01:11
  2086         0.2768    00:00:01:11
  2096         0.4682    00:00:01:12
  2106         0.2105    00:00:01:12
  2116         0.4858    00:00:01:12
  2126         0.2598    00:00:01:12
  2136         0.1739    00:00:01:12
  2146         0.3017    00:00:01:13
  2156         0.2845    00:00:01:13
  2166         0.1700    00:00:01:13
  2176         0.4848    00:00:01:13
  2186         0.2647    00:00:01:13
  2196         0.3749    00:00:01:13
  2206         0.3374    00:00:01:14
  2216         0.1944    00:00:01:14
  2226         0.3907    00:00:01:14
  2236         0.4267    00:00:01:14
  2246         0.3377    00:00:01:14
  2256         0.3145    00:00:01:15
  2266         0.2575    00:00:01:15
  2276         0.3733    00:00:01:15
  2286         0.3215    00:00:01:15
  2296         0.3172    00:00:01:15
  2306         0.2782    00:00:01:16
  2316         0.1724    00:00:01:16
  2326         0.1895    00:00:01:16
