 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        62.6814         1.0339        62.0658         1.0466    00:00:04:39
     2        69.2084         0.8578        68.4023         0.8736    00:00:08:56
     3        70.1406         0.8303        69.3696         0.8516    00:00:13:15
     4        71.6819         0.7773        70.7200         0.8084    00:00:17:33
     5        72.4756         0.7578        71.4017         0.7930    00:00:21:48
     6        73.3043         0.7371        71.7847         0.7802    00:00:26:02
     7        73.8147         0.7247        72.0314         0.7737    00:00:30:17
     8        73.9682         0.7085        72.3560         0.7646    00:00:34:29
     9        74.9853         0.6844        72.8365         0.7474    00:00:38:43
    10        75.3647         0.6757        72.8559         0.7494    00:00:43:06
    11        75.6393         0.6666        72.9274         0.7470    00:01:34:28
    12        75.2636         0.6643        72.7780         0.7512    00:01:38:28
    13        75.8639         0.6560        72.7391         0.7515    00:01:42:32
    14        76.6002         0.6405        73.3623         0.7382    00:01:46:17
    15        76.0461         0.6553        72.8819         0.7609    00:01:49:57
    16        77.3840         0.6141        73.1546         0.7389    00:01:53:36
    17        77.5574         0.6133        73.4078         0.7454    00:01:57:08
    18        77.9555         0.5995        73.3169         0.7556    00:02:00:42
    19        78.2314         0.5966        72.6287         0.7556    00:02:04:17
    20        78.6345         0.5837        73.4597         0.7626    00:02:07:51
    21        78.5022         0.5824        73.3299         0.7717    00:02:11:24
    22        79.1349         0.5730        72.7586         0.7759    00:02:15:05
    23        79.9785         0.5473        73.1221         0.7590    00:02:18:45
    24        80.0547         0.5452        72.9468         0.7773    00:02:22:04
    25        80.0859         0.5407        73.0897         0.7880    00:02:25:23
    26        80.7411         0.5253        73.0962         0.7835    00:02:28:40
    27        80.5826         0.5313        72.9923         0.8135    00:02:31:58
    28        81.7432         0.5081        72.5378         0.7919    00:02:35:16
    29        80.8159         0.5164        72.0639         0.8064    00:02:38:31
    30        81.8368         0.4993        72.3301         0.8155    00:02:41:46
