  iter           loss   elapsed_time
     0         1.7769    00:00:00:00
    10         1.7677    00:00:00:00
    20         1.7458    00:00:00:00
    30         1.6872    00:00:00:00
    40         1.6708    00:00:00:00
    50         1.6844    00:00:00:00
    60         1.6818    00:00:00:01
    70         1.6703    00:00:00:01
    80         1.5706    00:00:00:01
    90         1.5365    00:00:00:01
   100         1.3737    00:00:00:01
   110         1.4654    00:00:00:01
   120         1.4565    00:00:00:02
   130         1.6554    00:00:00:02
   140         1.3352    00:00:00:02
   150         1.2596    00:00:00:02
   160         1.4381    00:00:00:02
   170         1.5123    00:00:00:02
   180         1.3015    00:00:00:03
   190         1.3567    00:00:00:03
   200         1.3471    00:00:00:03
   210         1.2275    00:00:00:03
   220         1.2300    00:00:00:03
   230         1.5942    00:00:00:03
   240         1.2811    00:00:00:04
   250         1.5104    00:00:00:04
   260         1.3738    00:00:00:04
   270         1.4635    00:00:00:04
   280         1.4404    00:00:00:04
   290         1.5094    00:00:00:04
   300         1.4583    00:00:00:04
   310         1.2111    00:00:00:05
   320         1.7237    00:00:00:05
   330         1.4850    00:00:00:05
   340         1.2753    00:00:00:05
   350         1.3022    00:00:00:05
   360         1.7084    00:00:00:05
   370         1.2383    00:00:00:06
   380         1.5280    00:00:00:06
   390         1.8632    00:00:00:06
   400         1.5076    00:00:00:06
   410         1.2427    00:00:00:06
   420         1.5383    00:00:00:06
   430         1.5684    00:00:00:07
   440         1.4804    00:00:00:07
   450         1.6503    00:00:00:07
   460         1.4538    00:00:00:07
   470         1.3989    00:00:00:07
   480         1.4040    00:00:00:07
   490         1.2996    00:00:00:08
   500         1.2838    00:00:00:08
   510         1.6569    00:00:00:08
   520         1.4625    00:00:00:08
   530         1.4358    00:00:00:08
   540         1.5846    00:00:00:08
   550         1.3825    00:00:00:09
   560         1.5234    00:00:00:09
   570         1.3190    00:00:00:09
   580         1.3048    00:00:00:09
   590         1.2661    00:00:00:09
   600         1.1315    00:00:00:09
   610         1.1155    00:00:00:09
   620         1.6367    00:00:00:10
   630         1.3886    00:00:00:10
   640         1.3865    00:00:00:10
   650         1.4807    00:00:00:10
   660         1.6792    00:00:00:10
   670         1.5569    00:00:00:10
   680         1.4400    00:00:00:11
   690         1.3457    00:00:00:11
   700         1.5820    00:00:00:11
   710         1.4928    00:00:00:11
   720         1.3262    00:00:00:11
   730         1.6035    00:00:00:11
   740         1.6728    00:00:00:12
   750         1.5731    00:00:00:12
   760         1.7184    00:00:00:12
   770         1.3560    00:00:00:12
   780         1.5139    00:00:00:12
   790         1.5838    00:00:00:12
   800         1.3650    00:00:00:13
   810         1.3683    00:00:00:13
   820         1.4938    00:00:00:13
   830         1.4456    00:00:00:13
   840         1.3354    00:00:00:13
   850         1.4311    00:00:00:13
   860         1.3368    00:00:00:14
   870         1.4789    00:00:00:14
   880         1.8156    00:00:00:14
   890         1.1964    00:00:00:14
   900         1.3533    00:00:00:14
   910         1.1040    00:00:00:14
   920         1.5517    00:00:00:15
   930         1.3299    00:00:00:15
   940         1.5735    00:00:00:15
   950         1.2868    00:00:00:15
   960         1.4127    00:00:00:15
   970         1.3806    00:00:00:15
   980         1.4052    00:00:00:15
   990         1.3641    00:00:00:16
  1000         1.3284    00:00:00:16
  1010         1.3321    00:00:00:16
  1020         1.3883    00:00:00:16
  1030         1.3551    00:00:00:16
  1040         1.4629    00:00:00:16
  1050         1.2953    00:00:00:17
  1060         1.3971    00:00:00:17
  1070         1.4956    00:00:00:17
  1080         1.4884    00:00:00:17
  1090         1.5140    00:00:00:17
  1100         1.3292    00:00:00:17
  1110         1.4008    00:00:00:18
  1120         1.3848    00:00:00:18
  1130         1.5833    00:00:00:18
  1140         1.6645    00:00:00:18
  1150         1.1814    00:00:00:18
  1160         1.2044    00:00:00:18
  1170         1.2964    00:00:00:19
  1180         1.3889    00:00:00:19
  1190         1.6224    00:00:00:19
  1200         1.4310    00:00:00:19
  1210         1.3936    00:00:00:19
  1220         1.2796    00:00:00:19
  1230         1.2333    00:00:00:19
