  iter           loss   elapsed_time
     0         6.9192    00:00:00:02
    10         6.2004    00:00:00:06
    20         2.1190    00:00:00:10
    30         1.6696    00:00:00:13
    40         1.9563    00:00:00:17
    50         1.5991    00:00:00:20
    60         1.5310    00:00:00:24
    70         1.8384    00:00:00:28
    80         1.6733    00:00:00:31
    90         1.8402    00:00:00:35
   100         1.8645    00:00:00:39
   110         1.5855    00:00:00:42
   120         1.4186    00:00:00:46
   130         1.7417    00:00:00:50
   140         1.4685    00:00:00:53
   150         1.7419    00:00:00:57
   160         1.3685    00:00:01:00
   170         1.2914    00:00:01:04
   180         1.3955    00:00:01:08
   190         1.2648    00:00:01:11
   200         1.2859    00:00:01:15
   210         1.6140    00:00:01:19
   220         1.3301    00:00:01:22
   230         1.3814    00:00:01:26
   240         1.5508    00:00:01:30
   250         1.4450    00:00:01:33
   260         1.4899    00:00:01:37
   270         1.3688    00:00:01:41
   280         1.3564    00:00:01:44
   290         1.5309    00:00:01:48
   300         1.4567    00:00:01:52
   310         1.2025    00:00:01:55
   320         1.5800    00:00:01:59
   330         1.3900    00:00:02:03
   340         1.4301    00:00:02:06
   350         1.2118    00:00:02:10
   360         1.4861    00:00:02:14
   370         1.9399    00:00:02:17
   380         1.3027    00:00:02:21
   390         1.6658    00:00:02:25
   400         1.3410    00:00:02:28
   410         1.7896    00:00:02:32
   420         1.3888    00:00:02:35
   430         1.2990    00:00:02:39
   440         1.0620    00:00:02:43
   450         1.2888    00:00:02:46
   460         1.3842    00:00:02:50
   470         1.3498    00:00:02:54
   480         1.3761    00:00:02:57
   490         1.0328    00:00:03:01
   500         1.0393    00:00:03:05
   510         1.0734    00:00:03:08
   520         1.2116    00:00:03:12
   530         1.1870    00:00:03:16
   540         1.1187    00:00:03:19
   550         1.1125    00:00:03:23
   560         0.9863    00:00:03:27
   570         1.2795    00:00:03:30
   580         1.2966    00:00:03:34
   590         1.1706    00:00:03:38
   600         0.9899    00:00:03:41
   610         0.9269    00:00:03:45
   620         1.0817    00:00:03:49
   630         1.3477    00:00:03:52
   640         0.9958    00:00:03:56
   650         0.9102    00:00:04:00
   660         1.4092    00:00:04:03
   670         1.3652    00:00:04:07
   680         0.8544    00:00:04:11
   690         1.3274    00:00:04:15
   700         1.0053    00:00:04:18
   710         1.0443    00:00:04:22
   720         1.1553    00:00:04:26
   730         1.1655    00:00:04:29
   740         1.0694    00:00:04:33
   750         0.9057    00:00:04:37
   760         1.2290    00:00:04:40
   770         0.8982    00:00:04:44
   780         0.5788    00:00:04:48
   790         0.7391    00:00:04:51
   800         0.8255    00:00:04:55
   810         1.0459    00:00:04:59
   820         1.0950    00:00:05:02
   830         0.9223    00:00:05:06
   840         0.9468    00:00:05:10
   850         0.8553    00:00:05:13
   860         0.8997    00:00:05:17
   870         0.8879    00:00:05:21
   880         1.0413    00:00:05:24
   890         1.1383    00:00:05:28
   900         0.7743    00:00:05:32
   910         1.0815    00:00:05:35
   920         1.0281    00:00:05:39
   930         0.7853    00:00:05:43
   940         0.7227    00:00:05:46
   950         1.1473    00:00:05:50
   960         0.7969    00:00:05:54
   970         1.1691    00:00:05:57
   980         1.4627    00:00:06:01
   990         1.0886    00:00:06:05
  1000         0.7612    00:00:06:08
  1010         0.6536    00:00:06:12
  1020         0.9974    00:00:06:16
  1030         0.9039    00:00:06:19
  1040         0.8166    00:00:06:23
  1050         0.8804    00:00:06:27
  1060         0.7532    00:00:06:31
  1070         0.9551    00:00:06:34
  1080         1.1701    00:00:06:38
  1090         0.8074    00:00:06:42
  1100         0.9828    00:00:06:45
  1110         0.7988    00:00:06:49
  1120         0.7271    00:00:06:53
  1130         0.9419    00:00:06:56
  1140         0.9354    00:00:07:00
  1150         1.0657    00:00:07:04
  1160         1.1025    00:00:07:07
  1170         1.2124    00:00:07:11
  1180         0.6304    00:00:07:15
  1190         0.8178    00:00:07:18
  1200         0.6183    00:00:07:22
  1210         1.3921    00:00:07:26
  1220         1.0522    00:00:07:29
  1230         0.9182    00:00:07:33
  1240         0.6708    00:00:07:37
  1250         0.5902    00:00:07:40
  1260         0.6909    00:00:07:44
  1270         0.8073    00:00:07:48
  1280         0.8955    00:00:07:51
  1290         1.2048    00:00:07:55
  1300         0.8600    00:00:07:59
  1310         1.0270    00:00:08:03
  1320         0.8109    00:00:08:06
  1330         0.9694    00:00:08:10
  1340         0.9117    00:00:08:14
  1350         0.7786    00:00:08:17
  1360         0.8425    00:00:08:21
  1370         0.5847    00:00:08:25
  1380         0.6500    00:00:08:28
  1390         0.9451    00:00:08:32
  1400         0.5923    00:00:08:36
  1410         1.0515    00:00:08:39
  1420         1.1035    00:00:08:43
  1430         0.7692    00:00:08:47
  1440         1.2087    00:00:08:50
  1450         0.9695    00:00:08:54
  1460         0.9906    00:00:08:58
  1470         0.8785    00:00:09:01
  1480         0.7779    00:00:09:05
  1490         1.1352    00:00:09:09
  1500         0.8885    00:00:09:13
  1510         0.7589    00:00:09:16
  1520         0.7479    00:00:09:20
  1530         0.7187    00:00:09:24
  1540         0.9864    00:00:09:27
  1550         0.6746    00:00:09:31
  1560         0.6915    00:00:09:35
  1570         0.9607    00:00:09:38
  1580         0.6634    00:00:09:42
  1590         0.6587    00:00:09:46
  1600         0.7631    00:00:09:49
  1610         1.2384    00:00:09:53
  1620         0.6764    00:00:09:57
  1630         0.6678    00:00:10:00
  1640         1.1868    00:00:10:04
  1650         0.7107    00:00:10:08
  1660         1.0697    00:00:10:12
  1670         0.8105    00:00:10:15
  1680         0.5732    00:00:10:19
  1690         0.6457    00:00:10:23
  1700         0.2926    00:00:10:26
  1710         0.6028    00:00:10:30
  1720         0.6472    00:00:10:34
  1730         0.8082    00:00:10:37
  1740         1.0167    00:00:10:41
  1750         0.9749    00:00:10:45
  1760         0.5611    00:00:10:48
  1770         0.8935    00:00:10:52
  1780         0.7734    00:00:10:56
  1790         0.5301    00:00:10:59
  1800         0.6757    00:00:11:03
  1810         0.6984    00:00:11:07
  1820         0.7258    00:00:11:10
  1830         0.8936    00:00:11:14
  1840         0.6813    00:00:11:18
  1850         0.7089    00:00:11:22
  1860         0.6674    00:00:11:25
  1870         1.0062    00:00:11:29
  1880         1.0424    00:00:11:33
  1890         0.8805    00:00:11:36
  1900         0.7355    00:00:11:40
  1910         0.8385    00:00:11:44
