  iter           loss   elapsed_time
     0         2.0773    00:00:00:00
    10         1.2299    00:00:00:00
    20         1.1253    00:00:00:00
    30         1.2737    00:00:00:01
    40         0.9444    00:00:00:01
    50         1.0272    00:00:00:01
    60         1.2359    00:00:00:02
    70         0.8900    00:00:00:02
    80         0.8058    00:00:00:02
    90         0.6969    00:00:00:03
   100         0.6739    00:00:00:03
   110         1.1743    00:00:00:03
   120         0.9740    00:00:00:04
   130         0.8257    00:00:00:04
   140         0.6008    00:00:00:04
   150         1.7317    00:00:00:05
   160         0.8756    00:00:00:05
   170         0.8248    00:00:00:05
   180         1.1354    00:00:00:06
   190         0.5834    00:00:00:06
   200         0.8077    00:00:00:06
   210         0.7826    00:00:00:07
   220         0.9301    00:00:00:07
   230         0.7523    00:00:00:07
   240         0.4904    00:00:00:08
   250         1.0346    00:00:00:08
   260         0.5899    00:00:00:08
   270         0.6048    00:00:00:09
   280         0.8682    00:00:00:09
   290         0.8274    00:00:00:09
   300         1.0294    00:00:00:10
   310         0.7919    00:00:00:10
   320         0.5998    00:00:00:10
   330         0.7738    00:00:00:11
   340         0.8539    00:00:00:11
   350         0.3858    00:00:00:11
   360         0.8015    00:00:00:12
   370         0.7452    00:00:00:12
   380         0.7503    00:00:00:12
   390         0.6121    00:00:00:13
   400         0.4480    00:00:00:13
   410         0.6430    00:00:00:13
   420         0.6756    00:00:00:14
   430         0.6900    00:00:00:14
   440         0.6798    00:00:00:14
   450         0.6485    00:00:00:15
   460         0.5256    00:00:00:15
   470         0.4525    00:00:00:15
   480         0.6029    00:00:00:16
   490         0.6629    00:00:00:16
   500         0.6062    00:00:00:16
   510         0.6508    00:00:00:17
   520         0.4896    00:00:00:17
   530         1.0096    00:00:00:17
   540         0.6951    00:00:00:18
   550         0.8606    00:00:00:18
   560         0.5909    00:00:00:18
   570         0.6716    00:00:00:19
   580         0.9079    00:00:00:19
   590         0.7657    00:00:00:19
   600         0.5714    00:00:00:20
   610         0.6384    00:00:00:20
   620         0.6140    00:00:00:20
   630         0.4319    00:00:00:21
   640         0.8132    00:00:00:21
   650         0.5105    00:00:00:21
   660         0.6171    00:00:00:22
   670         0.9214    00:00:00:22
   680         0.6163    00:00:00:22
   690         0.4083    00:00:00:23
   700         0.5228    00:00:00:23
   710         0.5890    00:00:00:23
   720         0.6830    00:00:00:24
   730         0.5749    00:00:00:24
   740         0.7711    00:00:00:24
   750         0.9158    00:00:00:25
   760         0.7421    00:00:00:25
   770         0.7698    00:00:00:25
   780         1.1895    00:00:00:26
   790         0.6757    00:00:00:26
   800         0.6477    00:00:00:26
   810         0.6791    00:00:00:27
   820         0.9186    00:00:00:27
