 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        69.5993         0.8632        69.2828         0.8652    00:00:06:07
     2        73.4093         0.7424        72.7883         0.7586    00:00:12:23
     3        76.4652         0.6625        75.6282         0.6853    00:00:18:53
     4        78.0625         0.6157        76.8761         0.6493    00:00:25:19
     5        78.5878         0.6003        77.2921         0.6433    00:00:31:50
     6        79.0677         0.5866        77.4641         0.6403    00:00:38:12
     7        79.6111         0.5740        77.6305         0.6326    00:00:44:36
     8        80.0485         0.5517        78.0909         0.6196    00:00:52:29
     9        80.7328         0.5357        78.4458         0.6143    00:01:01:12
    10        80.8546         0.5300        78.4181         0.6127    00:01:09:56
    11        81.1872         0.5199        78.5790         0.6110    00:01:17:00
    12        82.1182         0.5031        78.5512         0.6013    00:01:23:20
    13        82.2792         0.4905        78.5401         0.6034    00:01:31:49
    14        82.7887         0.4789        79.1835         0.5995    00:01:39:40
    15        82.6733         0.4835        78.9450         0.6137    00:01:47:43
    16        83.2887         0.4627        79.0060         0.6124    00:01:54:49
    17        83.7410         0.4554        79.0060         0.6020    00:02:00:19
    18        83.8659         0.4479        78.8452         0.6137    00:02:05:44
    19        84.5629         0.4321        79.0338         0.6079    00:02:11:20
    20        84.1191         0.4397        78.2905         0.6335    00:02:17:01
    21        84.7589         0.4285        78.4958         0.6265    00:02:22:56
    22        85.1444         0.4139        78.9783         0.6188    00:02:28:52
    23        85.8636         0.3934        79.3111         0.6322    00:02:34:40
    24        86.0797         0.3857        79.1724         0.6314    00:02:41:43
    25        86.1051         0.3930        78.0021         0.6561    00:02:48:50
    26        86.5987         0.3745        78.9007         0.6446    00:02:54:51
    27        86.7110         0.3685        78.4126         0.6610    00:03:03:26
    28        86.5034         0.3684        78.7121         0.6700    00:03:10:45
    29        86.9419         0.3573        78.6400         0.6751    00:03:20:55
