  iter           loss   elapsed_time
     0         2.2821    00:00:00:03
    10         2.2854    00:00:00:04
    20         2.2740    00:00:00:04
    30         2.2457    00:00:00:05
    40         2.2569    00:00:00:05
    50         2.2001    00:00:00:06
    60         2.2115    00:00:00:06
    70         2.1728    00:00:00:07
    80         2.1726    00:00:00:07
    90         2.1919    00:00:00:08
   100         2.1365    00:00:00:08
   110         2.0932    00:00:00:09
   120         1.9997    00:00:00:09
   130         1.9970    00:00:00:10
   140         1.9980    00:00:00:11
   150         1.7338    00:00:00:11
   160         1.8576    00:00:00:12
   170         1.9574    00:00:00:12
   180         1.9304    00:00:00:12
   190         1.5913    00:00:00:13
   200         1.7553    00:00:00:13
   210         1.6774    00:00:00:14
   219         1.7812    00:00:00:35
   229         1.5891    00:00:00:36
   239         1.5691    00:00:00:36
   249         1.6353    00:00:00:37
   259         1.5165    00:00:00:37
   269         1.5573    00:00:00:38
   279         1.8221    00:00:00:38
   289         1.6415    00:00:00:39
   299         1.6320    00:00:00:39
   309         1.4866    00:00:00:40
   319         1.3037    00:00:00:40
   329         1.7091    00:00:00:41
   339         1.5504    00:00:00:41
   349         1.6829    00:00:00:42
   359         1.6518    00:00:00:42
   369         1.3227    00:00:00:42
   379         1.4009    00:00:00:43
   389         1.4362    00:00:00:43
   399         1.5222    00:00:00:44
   409         1.5079    00:00:00:44
   419         1.4230    00:00:00:45
   429         1.5720    00:00:00:45
   438         1.4188    00:00:01:05
   448         1.6200    00:00:01:06
   458         1.5523    00:00:01:06
   468         1.5881    00:00:01:07
   478         1.5445    00:00:01:07
   488         0.9892    00:00:01:08
   498         1.2745    00:00:01:08
   508         1.3257    00:00:01:09
   518         1.3499    00:00:01:09
   528         1.3463    00:00:01:10
   538         1.2403    00:00:01:10
   548         1.1534    00:00:01:11
   558         1.2023    00:00:01:11
   568         1.3396    00:00:01:12
   578         1.2055    00:00:01:12
   588         1.2178    00:00:01:13
   598         1.6228    00:00:01:13
   608         1.4446    00:00:01:14
   618         1.1115    00:00:01:14
   628         1.2692    00:00:01:15
   638         1.3866    00:00:01:15
   648         1.1174    00:00:01:15
   657         1.2876    00:00:01:40
   667         1.2961    00:00:01:41
   677         1.5004    00:00:01:42
   687         1.5470    00:00:01:42
   697         1.4163    00:00:01:43
   707         1.1398    00:00:01:43
   717         1.0503    00:00:01:44
   727         1.3671    00:00:01:45
   737         1.3737    00:00:01:45
   747         1.5210    00:00:01:46
   757         1.2843    00:00:01:47
   767         1.4260    00:00:01:47
   777         1.2371    00:00:01:48
   787         1.3555    00:00:01:49
   797         1.4460    00:00:01:50
   807         1.4852    00:00:01:50
   817         1.2565    00:00:01:51
   827         1.5420    00:00:01:52
   837         1.2197    00:00:01:52
   847         1.4234    00:00:01:53
   857         1.3767    00:00:01:54
   867         1.3677    00:00:01:54
   876         1.5176    00:00:02:20
   886         1.1457    00:00:02:21
   896         1.3092    00:00:02:21
   906         1.2227    00:00:02:22
   916         1.3333    00:00:02:22
   926         1.4488    00:00:02:23
   936         1.2556    00:00:02:24
   946         1.3105    00:00:02:24
   956         1.2320    00:00:02:25
   966         1.2108    00:00:02:25
   976         1.5095    00:00:02:26
   986         1.1849    00:00:02:27
   996         1.1367    00:00:02:27
  1006         1.4216    00:00:02:28
  1016         1.7476    00:00:02:28
  1026         1.3125    00:00:02:29
  1036         1.2221    00:00:02:30
  1046         1.0481    00:00:02:30
  1056         0.9274    00:00:02:31
  1066         1.1346    00:00:02:32
  1076         1.1756    00:00:02:32
  1086         1.1809    00:00:02:33
  1095         1.1774    00:00:02:54
  1105         1.3525    00:00:02:55
  1115         1.2764    00:00:02:55
  1125         1.1532    00:00:02:56
  1135         1.2448    00:00:02:56
  1145         1.2781    00:00:02:57
  1155         1.3109    00:00:02:57
  1165         1.4104    00:00:02:58
  1175         1.2367    00:00:02:58
  1185         1.1276    00:00:02:59
  1195         1.4552    00:00:02:59
  1205         1.1328    00:00:03:00
  1215         1.3251    00:00:03:00
  1225         1.2639    00:00:03:01
  1235         1.2539    00:00:03:01
  1245         1.0417    00:00:03:02
  1255         1.1703    00:00:03:02
  1265         0.8846    00:00:03:03
  1275         1.3410    00:00:03:03
  1285         1.3261    00:00:03:04
  1295         1.3996    00:00:03:04
  1305         1.6894    00:00:03:05
  1314         1.1515    00:00:03:24
  1324         1.2569    00:00:03:24
  1334         1.4705    00:00:03:25
  1344         1.2094    00:00:03:25
  1354         1.5308    00:00:03:26
  1364         1.0771    00:00:03:26
  1374         1.4747    00:00:03:27
  1384         1.1506    00:00:03:27
  1394         1.0537    00:00:03:28
  1404         1.0191    00:00:03:29
  1414         0.9887    00:00:03:29
  1424         1.1531    00:00:03:30
  1434         1.2978    00:00:03:30
  1444         1.2465    00:00:03:31
  1454         1.3165    00:00:03:31
  1464         1.3750    00:00:03:32
  1474         1.3053    00:00:03:32
  1484         1.5823    00:00:03:33
  1494         1.3259    00:00:03:33
  1504         1.2928    00:00:03:34
  1514         1.1864    00:00:03:34
  1524         1.1133    00:00:03:35
