  iter           loss   elapsed_time
     0         1.7867    00:00:00:06
    10         1.7814    00:00:00:07
    20         1.7719    00:00:00:08
    30         1.7708    00:00:00:09
    40         1.7052    00:00:00:10
    50         1.6672    00:00:00:10
    60         1.6310    00:00:00:11
    70         1.6573    00:00:00:12
    80         1.6046    00:00:00:13
    90         1.5418    00:00:00:13
   100         1.5995    00:00:00:14
   110         1.6041    00:00:00:15
   120         1.4156    00:00:00:16
   130         1.3260    00:00:00:17
   140         1.4300    00:00:00:18
   150         1.3768    00:00:00:19
   160         1.5139    00:00:00:19
   170         1.4691    00:00:00:20
   180         1.5384    00:00:00:21
   190         1.2598    00:00:00:21
   200         1.0712    00:00:00:22
   210         1.4977    00:00:00:23
   220         1.4681    00:00:00:24
   230         1.3917    00:00:00:25
   240         1.1800    00:00:00:26
   250         1.1581    00:00:00:27
   260         1.5474    00:00:00:28
   270         1.3927    00:00:00:28
   280         1.2928    00:00:00:29
   290         1.4620    00:00:00:30
   300         1.3317    00:00:00:31
   310         1.3133    00:00:00:32
   320         1.1925    00:00:00:32
   330         1.7716    00:00:00:33
   340         1.3790    00:00:00:34
   350         1.4019    00:00:00:35
   360         1.3148    00:00:00:36
   370         1.1972    00:00:00:37
   380         1.4796    00:00:00:38
   390         1.3026    00:00:00:38
   400         1.1659    00:00:00:39
   410         1.4877    00:00:00:40
   420         1.4400    00:00:00:41
   430         1.2291    00:00:00:42
   440         1.2557    00:00:00:42
   450         1.2326    00:00:00:43
   460         1.4366    00:00:00:45
   470         1.0382    00:00:00:46
   480         1.3769    00:00:00:48
   490         1.4063    00:00:00:51
   500         1.1388    00:00:00:52
   510         1.5154    00:00:00:53
   520         1.3253    00:00:00:54
   530         1.5361    00:00:00:55
   540         1.0410    00:00:00:56
   550         1.2574    00:00:00:57
   560         1.1767    00:00:00:58
   570         1.1299    00:00:00:59
   580         1.4422    00:00:01:00
   590         1.3069    00:00:01:02
   600         1.3136    00:00:01:03
   610         1.2346    00:00:01:04
   620         1.0839    00:00:01:04
   630         1.6409    00:00:01:05
   640         1.4543    00:00:01:06
   650         1.2706    00:00:01:07
   660         1.0934    00:00:01:07
   670         1.3014    00:00:01:08
   680         1.3365    00:00:01:08
   690         1.0701    00:00:01:09
   700         1.4257    00:00:01:10
   710         1.2667    00:00:01:11
   720         1.5161    00:00:01:11
   730         1.2203    00:00:01:12
   740         1.3786    00:00:01:12
   750         1.5340    00:00:01:13
   760         1.2356    00:00:01:14
   770         1.4198    00:00:01:14
   780         1.2023    00:00:01:15
   790         1.4624    00:00:01:16
   800         1.0758    00:00:01:16
   810         1.1563    00:00:01:17
   820         1.1591    00:00:01:18
   830         1.3933    00:00:01:18
   840         1.2743    00:00:01:19
   850         1.3805    00:00:01:20
   860         1.3506    00:00:01:20
   870         1.2854    00:00:01:21
   880         0.9889    00:00:01:22
   890         1.0643    00:00:01:22
   900         1.1235    00:00:01:24
   910         1.1799    00:00:01:24
   920         1.0666    00:00:01:25
   930         1.0025    00:00:01:25
   940         1.2802    00:00:01:26
   950         1.1746    00:00:01:27
   960         1.4237    00:00:01:27
   970         1.1430    00:00:01:28
   980         1.1335    00:00:01:29
   990         1.2703    00:00:01:29
  1000         1.5144    00:00:01:30
  1010         1.3800    00:00:01:31
  1020         1.0030    00:00:01:31
  1030         1.0874    00:00:01:33
  1040         1.0253    00:00:01:33
  1050         1.0535    00:00:01:34
  1060         1.2876    00:00:01:35
  1070         1.2014    00:00:01:35
  1080         1.1650    00:00:01:36
  1090         1.0182    00:00:01:37
  1100         0.9965    00:00:01:37
  1110         1.4773    00:00:01:38
  1120         1.2517    00:00:01:39
  1130         1.2912    00:00:01:39
  1140         1.4637    00:00:01:40
  1150         1.1372    00:00:01:40
  1160         1.1059    00:00:01:41
  1170         1.4656    00:00:01:42
  1180         1.5628    00:00:01:42
  1190         1.1699    00:00:01:43
  1200         1.1931    00:00:01:44
  1210         1.2089    00:00:01:44
  1220         1.1989    00:00:01:45
  1230         1.2537    00:00:01:46
  1240         1.1326    00:00:01:46
  1250         1.1515    00:00:01:47
  1260         1.2905    00:00:01:47
  1270         1.7090    00:00:01:48
  1280         1.0586    00:00:01:49
  1290         1.0437    00:00:01:49
  1300         0.8964    00:00:01:50
  1310         1.0246    00:00:01:50
  1320         1.1170    00:00:01:51
  1330         1.0222    00:00:01:52
  1340         1.5068    00:00:01:53
  1350         1.0709    00:00:01:53
  1360         1.1625    00:00:01:54
  1370         1.1117    00:00:01:55
  1380         1.0566    00:00:01:55
  1390         0.9527    00:00:01:56
  1400         1.2939    00:00:01:57
  1410         1.1273    00:00:01:57
  1420         1.4182    00:00:01:58
  1430         1.2329    00:00:01:58
  1440         0.7109    00:00:01:59
  1450         1.2336    00:00:02:00
  1460         0.7476    00:00:02:00
  1470         0.9358    00:00:02:01
  1480         0.9988    00:00:02:02
  1490         1.2521    00:00:02:02
  1500         1.1471    00:00:02:03
  1510         1.3439    00:00:02:04
  1520         1.3664    00:00:02:04
  1530         1.0751    00:00:02:05
  1540         0.8770    00:00:02:06
  1550         1.1476    00:00:02:06
  1560         1.0209    00:00:02:07
  1570         0.7877    00:00:02:08
  1580         0.8278    00:00:02:08
  1590         1.1018    00:00:02:09
  1600         1.2728    00:00:02:10
  1610         1.2341    00:00:02:10
  1620         1.1180    00:00:02:11
  1630         1.0926    00:00:02:11
  1640         1.1866    00:00:02:12
  1650         1.0475    00:00:02:13
  1660         1.2205    00:00:02:13
  1670         0.8075    00:00:02:14
  1680         0.8892    00:00:02:15
  1690         1.5024    00:00:02:15
  1700         1.0976    00:00:02:16
  1710         0.9913    00:00:02:17
  1720         1.0562    00:00:02:17
  1730         0.9744    00:00:02:18
  1740         0.8143    00:00:02:19
  1750         1.2091    00:00:02:20
  1760         0.8565    00:00:02:21
  1770         0.6713    00:00:02:21
  1780         0.8308    00:00:02:22
  1790         0.9660    00:00:02:23
  1800         1.3641    00:00:02:23
  1810         0.8963    00:00:02:24
  1820         1.2948    00:00:02:25
  1830         0.9506    00:00:02:25
  1840         1.3976    00:00:02:26
  1850         1.2082    00:00:02:27
  1860         0.9194    00:00:02:27
  1870         0.7900    00:00:02:28
  1880         1.3880    00:00:02:29
  1890         0.7824    00:00:02:29
  1900         1.2500    00:00:02:30
  1910         1.0348    00:00:02:31
  1920         1.1007    00:00:02:31
  1930         0.9614    00:00:02:32
  1940         1.2079    00:00:02:33
  1950         1.0841    00:00:02:33
  1960         1.1999    00:00:02:34
  1970         1.0601    00:00:02:35
  1980         1.2158    00:00:02:35
  1990         0.9780    00:00:02:36
  2000         1.2413    00:00:02:37
  2010         1.0116    00:00:02:37
  2020         0.8272    00:00:02:38
  2030         0.9197    00:00:02:38
  2040         0.9436    00:00:02:39
  2050         1.1201    00:00:02:40
  2060         1.0730    00:00:02:41
  2070         1.4808    00:00:02:41
  2080         1.2850    00:00:02:42
  2090         0.9802    00:00:02:43
  2100         1.0014    00:00:02:43
  2110         0.7913    00:00:02:44
  2120         0.8647    00:00:02:45
  2130         1.1898    00:00:02:45
  2140         0.8857    00:00:02:46
  2150         0.7974    00:00:02:47
  2160         1.0523    00:00:02:47
  2170         1.1169    00:00:02:48
  2180         0.9346    00:00:02:49
  2190         1.0873    00:00:02:49
  2200         0.7828    00:00:02:50
  2210         0.9389    00:00:02:51
  2220         0.9603    00:00:02:51
  2230         0.9866    00:00:02:52
  2240         0.8558    00:00:02:53
  2250         1.0645    00:00:02:54
  2260         1.0515    00:00:02:54
  2270         0.7237    00:00:02:55
  2280         0.8620    00:00:02:55
  2290         0.9500    00:00:02:56
  2300         0.8305    00:00:02:57
  2310         0.9254    00:00:02:58
  2320         0.9191    00:00:02:59
  2330         0.7595    00:00:02:59
  2340         0.8817    00:00:03:00
  2350         0.8839    00:00:03:01
  2360         1.0572    00:00:03:02
  2370         0.9346    00:00:03:02
  2380         1.1552    00:00:03:03
  2390         1.1801    00:00:03:03
  2400         0.6573    00:00:03:04
  2410         0.7091    00:00:03:05
  2420         0.9251    00:00:03:05
  2430         0.8870    00:00:03:06
  2440         0.8530    00:00:03:07
  2450         1.2311    00:00:03:07
  2460         0.8451    00:00:03:08
  2470         0.6387    00:00:03:09
  2480         1.0320    00:00:03:09
  2490         1.1755    00:00:03:10
  2500         1.2032    00:00:03:11
