 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        68.1270         0.8936        68.3565         0.8910    00:00:05:22
     2        71.0049         0.7992        70.8858         0.8017    00:00:09:56
     3        75.5669         0.6838        74.9459         0.6970    00:00:14:32
     4        76.8264         0.6485        76.0774         0.6709    00:00:19:13
     5        78.6059         0.6083        77.4863         0.6421    00:00:23:33
     6        78.7436         0.5917        77.4364         0.6376    00:00:28:00
     7        79.1842         0.5818        77.6638         0.6313    00:00:33:03
     8        79.8822         0.5661        77.7802         0.6239    00:00:37:33
     9        80.7953         0.5425        78.1907         0.6175    00:00:42:16
    10        81.2317         0.5255        78.8452         0.6029    00:00:46:28
    11        81.0410         0.5211        78.8618         0.6065    00:00:51:00
    12        81.5219         0.5137        78.4902         0.6094    00:00:55:06
    13        81.8916         0.5004        79.2446         0.6036    00:00:59:05
    14        82.1786         0.4923        78.9506         0.6043    00:01:03:06
    15        82.9815         0.4741        79.1503         0.5975    00:01:07:12
    16        83.4168         0.4605        79.2113         0.5955    00:01:11:18
    17        83.5672         0.4567        79.1114         0.6101    00:01:15:24
    18        84.1223         0.4378        79.4553         0.5977    00:01:19:36
    19        84.1816         0.4435        78.3793         0.6098    00:01:23:32
    20        84.7938         0.4215        79.2667         0.6100    00:01:27:23
    21        84.5746         0.4285        78.9118         0.6198    00:01:31:12
    22        85.1148         0.4124        79.2335         0.6154    00:01:35:02
    23        85.4272         0.4040        79.0171         0.6325    00:01:38:56
    24        85.6624         0.3968        78.7842         0.6295    00:01:42:54
    25        85.8202         0.3901        79.2889         0.6384    00:01:46:48
    26        85.6878         0.3903        78.7564         0.6491    00:01:51:20
    27        86.2905         0.3800        78.4958         0.6491    00:01:55:35
    28        87.2120         0.3565        78.8951         0.6562    00:01:59:32
    29        86.7258         0.3608        78.7454         0.6659    00:02:03:35
    30        87.8041         0.3384        78.9450         0.6775    00:02:07:45
