 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        68.5496         0.8839        68.6616         0.8854    00:00:02:55
     2        73.8605         0.7253        73.8588         0.7313    00:00:05:47
     3        75.5913         0.6796        75.1622         0.6979    00:00:08:39
     4        77.5540         0.6281        76.7763         0.6551    00:00:11:39
     5        78.2839         0.6112        76.8373         0.6468    00:00:14:32
     6        77.4153         0.6245        75.9776         0.6706    00:00:17:22
     7        79.4977         0.5757        77.9855         0.6275    00:00:20:14
     8        80.2477         0.5551        78.2683         0.6118    00:00:23:07
     9        79.7286         0.5595        77.7359         0.6267    00:00:26:14
    10        81.0791         0.5259        78.8008         0.5998    00:00:29:07
    11        80.9330         0.5293        78.5734         0.6135    00:00:31:58
    12        81.6617         0.5113        79.3388         0.6099    00:00:34:56
    13        82.1744         0.4954        78.9728         0.6037    00:00:37:55
    14        82.5515         0.4885        78.7842         0.6004    00:00:40:45
    15        82.7220         0.4770        79.3111         0.6019    00:00:43:42
    16        83.3257         0.4641        79.3666         0.5973    00:00:46:34
    17        83.9433         0.4510        79.4941         0.5927    00:00:49:25
    18        83.6191         0.4520        79.0504         0.6124    00:00:52:28
    19        84.1212         0.4409        79.3167         0.6082    00:00:55:41
    20        83.9030         0.4414        78.5235         0.6304    00:00:58:34
