 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        65.2475         0.9474        64.9249         0.9616    00:00:11:06
     2        68.4981         0.8569        67.7325         0.8771    00:00:14:46
     3        70.5794         0.8068        69.3443         0.8296    00:00:19:48
     4        71.9174         0.7698        70.8845         0.7999    00:00:25:44
     5        72.5908         0.7441        71.3784         0.7779    00:00:29:16
     6        73.3841         0.7272        71.6904         0.7730    00:00:32:49
     7        73.6027         0.7216        71.3264         0.7720    00:00:36:23
     8        74.5934         0.6877        72.2948         0.7494    00:00:42:47
     9        74.7520         0.6854        72.5158         0.7571    00:00:48:44
    10        75.2467         0.6702        72.5158         0.7510    00:00:54:40
    11        76.0263         0.6530        73.0292         0.7369    00:01:00:32
    12        76.2112         0.6425        72.8797         0.7357    00:01:06:30
    13        76.7821         0.6258        73.4516         0.7312    00:01:12:34
    14        76.8895         0.6256        72.5613         0.7415    00:01:19:00
    15        77.6341         0.6075        73.0942         0.7302    00:01:25:25
    16        77.8502         0.5994        73.1657         0.7416    00:01:31:50
    17        78.3275         0.5887        73.3736         0.7370    00:01:38:16
    18        78.4449         0.5826        72.5938         0.7536    00:01:44:42
    19        78.4711         0.5756        73.0617         0.7523    00:01:51:10
    20        79.4031         0.5634        72.9837         0.7487    00:01:57:38
    21        79.9578         0.5490        73.0617         0.7451    00:02:04:35
    22        80.0227         0.5361        73.5881         0.7542    00:02:11:06
    23        80.0964         0.5296        73.3476         0.7717    00:02:17:30
    24        79.0296         0.5473        72.1778         0.8024    00:02:23:52
    25        80.8398         0.5105        72.9122         0.7788    00:02:30:15
    26        81.4269         0.5033        72.9252         0.7950    00:02:36:34
