  iter           loss   elapsed_time
     0         1.7674    00:00:00:00
    10         1.4438    00:00:00:00
    20         1.4326    00:00:00:00
    30         1.5564    00:00:00:00
    40         1.2866    00:00:00:00
    50         1.2157    00:00:00:01
    60         1.4063    00:00:00:01
    70         1.3611    00:00:00:01
    80         1.2543    00:00:00:01
    90         1.2602    00:00:00:01
   100         1.3465    00:00:00:01
   110         1.2555    00:00:00:02
   120         1.2238    00:00:00:02
   130         1.4498    00:00:00:02
   140         1.0588    00:00:00:02
   150         1.6087    00:00:00:02
   160         1.2208    00:00:00:03
   170         1.3447    00:00:00:03
   180         0.9592    00:00:00:03
   190         0.7131    00:00:00:03
   200         1.0373    00:00:00:03
   210         0.9415    00:00:00:03
   220         0.8354    00:00:00:04
   230         1.2484    00:00:00:04
   240         0.7975    00:00:00:04
   250         1.0811    00:00:00:04
   260         0.8304    00:00:00:04
   270         1.2221    00:00:00:05
   280         0.9941    00:00:00:05
   290         1.0285    00:00:00:05
   300         0.7633    00:00:00:05
   310         0.7451    00:00:00:05
   320         0.8900    00:00:00:06
   330         1.2709    00:00:00:06
   340         0.8626    00:00:00:06
   350         0.9635    00:00:00:06
   360         0.5808    00:00:00:06
   370         1.0722    00:00:00:06
   380         0.6509    00:00:00:07
   390         1.0322    00:00:00:07
   400         1.2111    00:00:00:07
   410         0.8353    00:00:00:07
   420         0.8386    00:00:00:07
   430         1.2174    00:00:00:07
   440         0.8796    00:00:00:08
   450         1.0891    00:00:00:08
   460         0.9338    00:00:00:08
   470         0.7608    00:00:00:08
   480         0.7204    00:00:00:08
   490         1.0429    00:00:00:09
   500         0.6656    00:00:00:09
   510         0.7212    00:00:00:09
   520         0.8572    00:00:00:09
   530         0.8720    00:00:00:09
   540         1.2023    00:00:00:10
   550         0.7602    00:00:00:10
   560         0.8701    00:00:00:10
   570         0.7153    00:00:00:10
   580         0.7442    00:00:00:10
   590         0.8289    00:00:00:10
   600         1.0671    00:00:00:11
   610         1.0909    00:00:00:11
   620         1.0786    00:00:00:11
   630         0.5787    00:00:00:11
   640         0.8739    00:00:00:11
   650         0.8684    00:00:00:12
   660         0.9530    00:00:00:12
   670         0.7452    00:00:00:12
   680         1.0612    00:00:00:12
   690         0.8467    00:00:00:12
   700         0.8416    00:00:00:12
   710         1.0832    00:00:00:13
   720         0.7717    00:00:00:13
   730         1.1562    00:00:00:13
   740         0.3870    00:00:00:13
   750         0.6635    00:00:00:13
   760         0.9538    00:00:00:14
   770         0.7021    00:00:00:14
   780         0.6130    00:00:00:14
   790         0.7695    00:00:00:14
   800         0.8661    00:00:00:14
   810         0.5540    00:00:00:14
   820         0.8663    00:00:00:15
   830         0.7423    00:00:00:15
   840         0.7867    00:00:00:15
   850         0.6249    00:00:00:15
   860         0.7705    00:00:00:15
   870         0.7557    00:00:00:16
   880         0.6712    00:00:00:16
   890         0.6346    00:00:00:16
   900         0.7055    00:00:00:16
   910         0.7269    00:00:00:16
   920         0.8572    00:00:00:16
   930         0.6855    00:00:00:17
   940         0.9610    00:00:00:17
   950         0.8209    00:00:00:17
   960         0.4616    00:00:00:17
   970         0.8938    00:00:00:17
   980         0.7457    00:00:00:18
   990         0.7042    00:00:00:18
  1000         1.1873    00:00:00:18
  1010         0.5811    00:00:00:18
  1020         0.7397    00:00:00:18
  1030         0.5686    00:00:00:18
  1040         0.9329    00:00:00:19
  1050         0.5944    00:00:00:19
  1060         0.5587    00:00:00:19
  1070         1.0982    00:00:00:19
  1080         0.9517    00:00:00:19
  1090         0.6215    00:00:00:20
  1100         0.8504    00:00:00:20
  1110         0.5565    00:00:00:20
  1120         0.8973    00:00:00:20
  1130         0.7183    00:00:00:20
  1140         0.8166    00:00:00:20
  1150         0.7574    00:00:00:21
  1160         0.6257    00:00:00:21
  1170         0.7370    00:00:00:21
  1180         0.6455    00:00:00:21
  1190         0.9306    00:00:00:21
  1200         0.7190    00:00:00:22
  1210         0.8513    00:00:00:22
  1220         0.6932    00:00:00:22
  1230         0.6244    00:00:00:22
  1240         0.6403    00:00:00:22
  1250         0.6369    00:00:00:22
  1260         0.8992    00:00:00:23
  1270         0.8165    00:00:00:23
  1280         0.9597    00:00:00:23
  1290         0.4546    00:00:00:23
  1300         0.7292    00:00:00:23
  1310         0.8420    00:00:00:24
  1320         0.9871    00:00:00:24
  1330         1.1200    00:00:00:24
  1340         0.7506    00:00:00:24
  1350         0.5660    00:00:00:24
  1360         0.5711    00:00:00:24
  1370         0.5917    00:00:00:25
  1380         0.4969    00:00:00:25
  1390         0.8095    00:00:00:25
  1400         1.0225    00:00:00:25
  1410         0.7644    00:00:00:25
  1420         1.1349    00:00:00:25
  1430         0.8230    00:00:00:26
  1440         0.7519    00:00:00:26
  1450         0.6787    00:00:00:26
  1460         0.8574    00:00:00:26
  1470         0.7742    00:00:00:26
  1480         0.6251    00:00:00:27
  1490         0.6814    00:00:00:27
  1500         0.8035    00:00:00:27
  1510         0.8169    00:00:00:27
  1520         0.6434    00:00:00:27
  1530         0.7760    00:00:00:27
