 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        23.7500         2.2652        25.0000         2.2645    00:00:00:18
     2        27.8571         2.2128        26.2500         2.2125    00:00:01:03
     3        30.8929         2.1480        27.5000         2.1482    00:00:01:33
     4        33.9286         2.0450        27.9167         2.0458    00:00:01:53
     5        35.8929         1.8372        33.7500         1.8389    00:00:02:13
     6        26.9643         1.5226        25.8333         1.5291    00:00:02:32
     7        33.9286         1.3797        35.8333         1.3889    00:00:02:58
     8        38.3929         1.3384        35.8333         1.3523    00:00:03:25
     9        35.5357         1.3465        35.4167         1.3603    00:00:03:53
    10        38.7500         1.2965        36.2500         1.3247    00:00:04:20
    11        40.0000         1.2975        35.8333         1.3377    00:00:04:48
    12        43.5714         1.2888        40.8333         1.3440    00:00:05:19
    13        38.2143         1.2898        33.3333         1.3410    00:00:05:48
    14        46.2500         1.2389        39.5833         1.2922    00:00:06:19
    15        40.1786         1.2720        39.5833         1.3380    00:00:06:47
    16        40.8929         1.2736        40.4167         1.3479    00:00:07:16
    17        45.0000         1.2123        43.7500         1.2854    00:00:07:42
    18        46.4286         1.2063        42.0833         1.2870    00:00:08:06
    19        48.0357         1.2117        43.3333         1.3014    00:00:08:33
    20        47.6786         1.1829        42.9167         1.2753    00:00:09:00
    21        46.7857         1.2002        44.1667         1.2950    00:00:09:27
    22        46.7857         1.1940        43.3333         1.2915    00:00:09:55
    23        48.9286         1.1635        42.9167         1.2665    00:00:10:21
    24        51.4286         1.1439        43.7500         1.2479    00:00:10:48
    25        47.3214         1.1535        42.9167         1.2581    00:00:11:16
    26        50.3571         1.1308        45.4167         1.2433    00:00:11:43
    27        49.1071         1.1360        42.5000         1.2561    00:00:12:15
    28        50.1786         1.1212        46.2500         1.2433    00:00:12:44
    29        46.7857         1.1798        42.0833         1.2893    00:00:13:12
    30        48.9286         1.1742        41.2500         1.3025    00:00:13:39
