  iter           loss   elapsed_time
     0         1.7567    00:00:00:05
    10         1.7558    00:00:00:05
    20         1.7588    00:00:00:06
    30         1.7114    00:00:00:06
    40         1.6883    00:00:00:06
    50         1.5865    00:00:00:07
    60         1.4817    00:00:00:07
    70         1.3770    00:00:00:08
    80         1.3740    00:00:00:08
    90         1.3731    00:00:00:09
   100         1.4109    00:00:00:09
   110         1.1051    00:00:00:10
   120         1.3200    00:00:00:10
   130         1.5365    00:00:00:10
   140         1.5409    00:00:00:11
   150         1.3697    00:00:00:11
   160         1.4085    00:00:00:12
   170         1.4066    00:00:00:12
   180         1.1586    00:00:00:13
   190         1.4115    00:00:00:14
   200         1.2365    00:00:00:14
   210         1.3166    00:00:00:15
   220         1.7768    00:00:00:15
   230         1.3116    00:00:00:16
   240         1.2933    00:00:00:16
   250         1.5091    00:00:00:17
   260         1.2959    00:00:00:17
   270         1.2210    00:00:00:18
   280         1.1936    00:00:00:18
   290         1.2706    00:00:00:19
   300         1.0783    00:00:00:19
   310         1.4814    00:00:00:20
   320         1.2829    00:00:00:20
   330         1.3233    00:00:00:21
   340         1.4672    00:00:00:21
   350         1.2870    00:00:00:21
   360         1.1066    00:00:00:22
   370         1.3053    00:00:00:22
   380         1.1914    00:00:00:23
   390         1.1577    00:00:00:23
   400         1.3008    00:00:00:24
   410         1.3013    00:00:00:24
   420         1.2681    00:00:00:25
   430         1.4167    00:00:00:25
   440         1.2304    00:00:00:26
   450         1.3114    00:00:00:26
   460         1.2952    00:00:00:27
   470         1.0370    00:00:00:27
   480         1.2228    00:00:00:28
   490         1.3072    00:00:00:28
   500         1.4567    00:00:00:29
   510         1.2103    00:00:00:29
   520         1.3793    00:00:00:30
   530         1.2101    00:00:00:30
   540         1.2435    00:00:00:31
   550         1.4015    00:00:00:31
   560         1.2478    00:00:00:31
   570         1.1045    00:00:00:32
   580         1.5493    00:00:00:32
   590         1.3571    00:00:00:33
   600         1.2748    00:00:00:33
   610         1.2687    00:00:00:34
   620         1.2762    00:00:00:34
   630         1.1064    00:00:00:35
   640         1.3553    00:00:00:35
   650         1.2300    00:00:00:35
   660         1.1093    00:00:00:36
   670         0.8703    00:00:00:36
   680         1.1297    00:00:00:37
   690         0.9928    00:00:00:37
   700         1.0377    00:00:00:38
   710         1.2267    00:00:00:38
   720         1.3307    00:00:00:39
   730         1.1536    00:00:00:39
   740         1.1760    00:00:00:39
   750         1.1690    00:00:00:40
   760         1.0413    00:00:00:40
   770         1.2082    00:00:00:41
   780         1.2592    00:00:00:41
   790         1.2568    00:00:00:42
   800         0.8903    00:00:00:42
   810         1.6322    00:00:00:42
   820         0.8733    00:00:00:43
   830         1.0833    00:00:00:43
   840         1.1798    00:00:00:44
   850         1.1714    00:00:00:44
   860         1.0248    00:00:00:45
   870         0.9046    00:00:00:45
   880         1.4052    00:00:00:46
   890         1.4721    00:00:00:46
   900         1.4100    00:00:00:47
   910         1.2903    00:00:00:47
   920         1.0461    00:00:00:47
   930         1.2399    00:00:00:48
   940         1.0910    00:00:00:48
   950         1.0855    00:00:00:49
   960         0.9838    00:00:00:49
   970         1.2448    00:00:00:50
   980         1.2545    00:00:00:50
   990         1.1264    00:00:00:50
  1000         1.0256    00:00:00:51
  1010         1.1981    00:00:00:51
  1020         1.1891    00:00:00:52
  1030         1.4206    00:00:00:52
  1040         0.9039    00:00:00:53
  1050         1.3085    00:00:00:53
  1060         1.1483    00:00:00:54
  1070         0.9805    00:00:00:54
  1080         1.2252    00:00:00:54
  1090         0.9602    00:00:00:55
  1100         0.9599    00:00:00:55
  1110         1.2541    00:00:00:56
  1120         0.9369    00:00:00:56
  1130         0.8268    00:00:00:57
  1140         1.0531    00:00:00:57
  1150         1.0744    00:00:00:58
  1160         1.0980    00:00:00:58
  1170         0.9680    00:00:00:58
  1180         1.2462    00:00:00:59
  1190         1.0346    00:00:00:59
  1200         0.9742    00:00:01:00
  1210         1.2599    00:00:01:00
  1220         1.2215    00:00:01:01
  1230         1.1650    00:00:01:01
  1240         0.9718    00:00:01:02
  1250         1.0443    00:00:01:02
  1260         0.9515    00:00:01:02
  1270         1.1470    00:00:01:03
  1280         1.2467    00:00:01:03
  1290         1.2594    00:00:01:04
  1300         1.3132    00:00:01:04
  1310         0.7895    00:00:01:05
  1320         0.9555    00:00:01:05
  1330         0.9891    00:00:01:05
  1340         1.0629    00:00:01:06
  1350         1.1061    00:00:01:06
  1360         0.8883    00:00:01:07
  1370         1.1859    00:00:01:07
  1380         0.7641    00:00:01:08
  1390         0.8549    00:00:01:08
  1400         0.8595    00:00:01:09
  1410         0.9560    00:00:01:09
  1420         1.1145    00:00:01:10
  1430         1.0376    00:00:01:10
  1440         1.3349    00:00:01:11
  1450         1.0047    00:00:01:11
  1460         0.9991    00:00:01:12
  1470         0.9285    00:00:01:12
  1480         0.7460    00:00:01:13
  1490         0.6862    00:00:01:13
  1500         0.9139    00:00:01:14
  1510         1.0436    00:00:01:14
  1520         0.9954    00:00:01:15
  1530         0.7280    00:00:01:15
  1540         1.2035    00:00:01:16
  1550         0.9162    00:00:01:16
  1560         1.1168    00:00:01:17
  1570         0.7855    00:00:01:17
  1580         0.8653    00:00:01:17
  1590         1.1384    00:00:01:18
  1600         1.2368    00:00:01:18
  1610         1.0331    00:00:01:19
  1620         1.0194    00:00:01:19
  1630         1.0978    00:00:01:20
  1640         0.9878    00:00:01:20
  1650         0.7827    00:00:01:21
  1660         0.6431    00:00:01:21
  1670         0.9559    00:00:01:21
  1680         0.8552    00:00:01:22
  1690         0.9011    00:00:01:22
  1700         0.7111    00:00:01:23
  1710         0.9314    00:00:01:23
  1720         0.8640    00:00:01:24
  1730         0.9033    00:00:01:25
  1740         0.5314    00:00:01:25
  1750         0.9341    00:00:01:26
  1760         0.7291    00:00:01:27
  1770         0.9327    00:00:01:27
  1780         1.0684    00:00:01:28
  1790         0.9637    00:00:01:29
  1800         1.2522    00:00:01:29
  1810         1.0129    00:00:01:30
  1820         0.8004    00:00:01:31
  1830         0.7797    00:00:01:32
  1840         0.7650    00:00:01:33
  1850         1.4093    00:00:01:33
  1860         0.9608    00:00:01:34
  1870         0.5876    00:00:01:35
  1880         0.9507    00:00:01:36
  1890         0.8559    00:00:01:37
  1900         0.4277    00:00:01:37
  1910         1.3788    00:00:01:38
  1920         0.5949    00:00:01:39
  1930         0.6822    00:00:01:40
  1940         0.7747    00:00:01:40
  1950         0.9897    00:00:01:41
  1960         0.8071    00:00:01:42
  1970         0.8213    00:00:01:43
  1980         0.9221    00:00:01:43
  1990         0.7825    00:00:01:44
  2000         1.2134    00:00:01:45
  2010         1.3403    00:00:01:45
  2020         1.3980    00:00:01:46
  2030         0.8346    00:00:01:47
  2040         0.9240    00:00:01:47
  2050         0.7820    00:00:01:48
  2060         1.1668    00:00:01:49
  2070         0.6527    00:00:01:49
  2080         0.6601    00:00:01:50
  2090         0.7872    00:00:01:51
  2100         0.8396    00:00:01:52
  2110         0.8094    00:00:01:52
  2120         0.8816    00:00:01:53
  2130         0.8700    00:00:01:54
  2140         1.3669    00:00:01:55
  2150         1.0105    00:00:01:55
  2160         0.6549    00:00:01:56
  2170         1.1351    00:00:01:57
  2180         1.1413    00:00:01:57
  2190         1.0565    00:00:01:58
  2200         0.7244    00:00:01:59
  2210         1.2003    00:00:01:59
  2220         0.6758    00:00:02:00
  2230         1.0165    00:00:02:01
  2240         0.8154    00:00:02:01
  2250         1.1487    00:00:02:02
  2260         1.0134    00:00:02:02
  2270         1.0113    00:00:02:03
  2280         0.9689    00:00:02:04
  2290         0.9386    00:00:02:05
  2300         1.0141    00:00:02:05
  2310         0.8891    00:00:02:06
  2320         0.7195    00:00:02:07
  2330         0.9486    00:00:02:07
  2340         0.7238    00:00:02:08
  2350         1.0862    00:00:02:09
  2360         0.7469    00:00:02:09
  2370         0.7862    00:00:02:10
  2380         0.9279    00:00:02:10
  2390         0.8330    00:00:02:11
  2400         1.1615    00:00:02:12
  2410         0.8644    00:00:02:12
  2420         0.7232    00:00:02:13
  2430         0.8912    00:00:02:14
  2440         0.8266    00:00:02:14
  2450         0.9788    00:00:02:15
  2460         0.9099    00:00:02:16
  2470         0.7308    00:00:02:16
  2480         0.9808    00:00:02:17
  2490         0.7413    00:00:02:18
  2500         0.9121    00:00:02:18
  2510         0.7126    00:00:02:19
  2520         1.0090    00:00:02:19
  2530         0.6143    00:00:02:20
  2540         0.9411    00:00:02:21
  2550         0.7224    00:00:02:21
  2560         0.9468    00:00:02:22
  2570         0.9307    00:00:02:23
  2580         0.9355    00:00:02:23
  2590         0.7622    00:00:02:24
  2600         0.7686    00:00:02:25
  2610         0.5919    00:00:02:25
  2620         0.6185    00:00:02:26
  2630         0.7477    00:00:02:26
  2640         0.8685    00:00:02:27
  2650         1.0032    00:00:02:28
  2660         0.9153    00:00:02:29
  2670         0.7252    00:00:02:29
  2680         0.9020    00:00:02:30
  2690         0.9865    00:00:02:31
  2700         0.4810    00:00:02:31
  2710         0.7003    00:00:02:32
  2720         0.9890    00:00:02:33
  2730         0.8306    00:00:02:33
  2740         0.6496    00:00:02:34
  2750         0.9775    00:00:02:35
  2760         0.7599    00:00:02:35
  2770         0.9425    00:00:02:36
  2780         0.7985    00:00:02:37
  2790         0.6994    00:00:02:37
  2800         0.8634    00:00:02:38
  2810         0.8430    00:00:02:38
  2820         1.1105    00:00:02:39
  2830         0.7194    00:00:02:40
  2840         0.9441    00:00:02:40
  2850         0.7522    00:00:02:41
  2860         0.8234    00:00:02:42
  2870         0.7561    00:00:02:42
  2880         0.9215    00:00:02:43
  2890         0.9340    00:00:02:44
  2900         0.6427    00:00:02:45
  2910         0.9120    00:00:02:45
  2920         0.9595    00:00:02:46
  2930         0.8807    00:00:02:47
  2940         0.8524    00:00:02:47
  2950         0.8263    00:00:02:48
