 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        70.2443         0.8221        69.7543         0.8457    00:00:02:52
     2        75.2141         0.6996        74.5299         0.7272    00:00:05:45
     3        76.1257         0.6668        75.2787         0.7004    00:00:08:36
     4        77.6494         0.6313        76.4047         0.6854    00:00:11:26
     5        78.6602         0.6010        76.9316         0.6537    00:00:14:16
     6        79.7253         0.5619        77.9466         0.6239    00:00:17:06
     7        80.3672         0.5507        78.1241         0.6269    00:00:19:59
     8        80.9910         0.5323        78.4237         0.6086    00:00:22:49
     9        81.5145         0.5137        78.7842         0.5987    00:00:25:43
    10        81.6371         0.5063        78.9339         0.6096    00:00:28:35
    11        82.0785         0.4972        79.1059         0.5912    00:00:31:29
    12        82.8270         0.4750        79.2057         0.5989    00:00:34:24
    13        83.0083         0.4736        79.0615         0.5930    00:00:37:18
    14        83.3762         0.4608        79.3000         0.5951    00:00:40:12
    15        83.9807         0.4443        79.5052         0.5989    00:00:43:02
    16        83.7206         0.4483        79.0726         0.6098    00:00:45:53
    17        84.6557         0.4263        79.7382         0.5934    00:00:48:44
    18        84.7889         0.4195        79.3056         0.6010    00:00:51:34
    19        85.2794         0.4058        79.4941         0.6089    00:00:54:28
    20        85.4895         0.4060        79.2224         0.6166    00:00:57:18
