 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        18.4180         2.2915        18.7100         2.2915    00:00:00:36
     2        27.5560         1.9951        27.9000         1.9957    00:00:01:13
     3        33.7180         1.8277        33.6700         1.8300    00:00:01:49
     4        39.5960         1.6600        39.1300         1.6583    00:00:02:27
     5        42.7700         1.5673        42.4400         1.5719    00:00:03:07
     6        44.3180         1.5178        43.5800         1.5248    00:00:03:44
     7        47.1560         1.4492        46.6000         1.4617    00:00:04:21
     8        49.7360         1.3907        49.0400         1.4084    00:00:04:58
     9        51.8460         1.3350        51.1900         1.3597    00:00:05:35
    10        52.4260         1.3215        51.8500         1.3493    00:00:06:12
    11        53.8080         1.2801        53.0600         1.3115    00:00:06:49
    12        55.1580         1.2594        53.6600         1.2986    00:00:07:26
    13        57.2380         1.1982        55.6200         1.2455    00:00:08:03
    14        57.7840         1.1855        56.3000         1.2369    00:00:08:40
    15        59.1280         1.1486        57.3300         1.2060    00:00:09:18
    16        59.1440         1.1436        57.0900         1.2046    00:00:09:55
    17        61.0080         1.0987        58.3500         1.1700    00:00:10:32
    18        61.2160         1.0942        58.4900         1.1727    00:00:11:10
    19        61.9560         1.0772        59.0400         1.1623    00:00:11:47
    20        62.5500         1.0558        59.6900         1.1509    00:00:12:24
    21        63.4780         1.0367        59.2300         1.1425    00:00:13:01
    22        64.1060         1.0125        60.5400         1.1193    00:00:13:38
    23        65.5240         0.9853        61.2100         1.1085    00:00:14:15
    24        65.7260         0.9739        61.0400         1.1059    00:00:14:53
    25        66.2300         0.9662        61.3000         1.1045    00:00:15:30
    26        66.1720         0.9583        61.3600         1.1043    00:00:16:07
    27        66.9500         0.9405        61.4800         1.0988    00:00:16:44
    28        65.8860         0.9739        60.7400         1.1410    00:00:17:21
    29        68.4480         0.9016        62.1900         1.0844    00:00:17:58
    30        67.9880         0.8999        61.8800         1.0893    00:00:18:36
