 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        93.5333         0.2231        93.9200         0.2066    00:00:00:30
     2        96.0217         0.1378        96.1600         0.1268    00:00:01:06
     3        96.9417         0.1022        97.0600         0.0922    00:00:01:44
     4        97.3717         0.0860        97.3700         0.0798    00:00:02:59
     5        97.5400         0.0790        97.4800         0.0758    00:00:03:52
     6        97.8850         0.0689        97.7700         0.0651    00:00:04:35
     7        98.0233         0.0643        98.1200         0.0585    00:00:05:16
     8        98.0667         0.0625        98.1500         0.0577    00:00:05:59
     9        98.2467         0.0572        98.2000         0.0534    00:00:06:42
    10        98.3517         0.0539        98.4100         0.0500    00:00:07:24
