  iter           loss   elapsed_time
     0         2.3007    00:00:00:04
    10         2.2726    00:00:00:06
    18         2.2574    00:00:00:22
    28         2.2453    00:00:00:29
    36         2.2119    00:00:01:10
    46         2.1797    00:00:01:15
    54         2.1384    00:00:01:38
    64         2.1078    00:00:01:40
    72         2.0376    00:00:01:57
    82         1.9561    00:00:02:00
    90         1.8096    00:00:02:17
   100         1.6674    00:00:02:19
   108         1.5217    00:00:02:37
   118         1.4610    00:00:02:39
   126         1.3574    00:00:03:04
   136         1.3189    00:00:03:07
   144         1.3943    00:00:03:31
   154         1.3409    00:00:03:34
   162         1.3587    00:00:03:59
   172         1.4179    00:00:04:03
   180         1.2641    00:00:04:27
   190         1.3948    00:00:04:31
   198         1.2952    00:00:04:55
   208         1.3645    00:00:04:59
   216         1.2608    00:00:05:25
   226         1.4098    00:00:05:28
   234         1.1111    00:00:05:56
   244         1.2983    00:00:06:00
   252         1.1127    00:00:06:25
   262         1.1464    00:00:06:29
   270         1.3314    00:00:06:54
   280         1.2366    00:00:06:58
   288         1.2087    00:00:07:22
   298         1.2868    00:00:07:26
   306         1.2223    00:00:07:47
   316         1.3603    00:00:07:51
   324         1.1561    00:00:08:13
   334         1.2064    00:00:08:17
   342         1.2921    00:00:08:39
   352         1.2283    00:00:08:42
   360         1.3023    00:00:09:06
   370         1.2575    00:00:09:09
   378         1.1707    00:00:09:34
   388         1.3395    00:00:09:37
   396         1.1674    00:00:10:01
   406         1.1814    00:00:10:04
   414         1.3090    00:00:10:28
   424         1.2111    00:00:10:31
   432         1.1611    00:00:10:55
   442         0.9743    00:00:10:58
   450         1.2576    00:00:11:22
   460         1.0990    00:00:11:25
   468         1.1993    00:00:11:50
   478         1.2244    00:00:11:54
   486         0.9740    00:00:12:22
   496         1.1572    00:00:12:26
   504         1.1777    00:00:12:50
   514         1.2577    00:00:12:53
   522         0.8891    00:00:13:18
   532         1.0515    00:00:13:21
