  iter           loss   elapsed_time
     0         2.0157    00:00:00:30
    10         1.2895    00:00:04:15
    20         1.0023    00:00:08:12
    30         0.7648    00:00:12:16
    40         0.7197    00:00:16:14
    50         0.9184    00:00:20:32
    60         0.8524    00:00:25:00
    70         0.7224    00:00:29:18
    80         0.6615    00:00:33:49
    90         0.6258    00:00:38:17
   100         0.8385    00:00:42:30
   110         0.6176    00:00:46:52
   120         0.7605    00:00:51:03
   130         0.6614    00:00:55:16
