  iter           loss   elapsed_time
     0         2.3025    00:00:00:07
    10         2.3057    00:00:00:07
    20         2.3105    00:00:00:07
    30         2.3010    00:00:00:08
    40         2.3144    00:00:00:08
    50         2.2995    00:00:00:08
    60         2.2962    00:00:00:08
    70         2.2993    00:00:00:09
    80         2.2998    00:00:00:09
    90         2.2902    00:00:00:09
   100         2.3041    00:00:00:09
   110         2.3078    00:00:00:10
   120         2.3172    00:00:00:10
   130         2.3042    00:00:00:10
   140         2.3007    00:00:00:10
   150         2.2848    00:00:00:11
   160         2.3086    00:00:00:11
   170         2.3025    00:00:00:11
   180         2.3119    00:00:00:11
   190         2.3009    00:00:00:12
   200         2.3019    00:00:00:12
   210         2.3112    00:00:00:12
   220         2.3131    00:00:00:12
   230         2.3091    00:00:00:13
   240         2.3002    00:00:00:13
   250         2.3055    00:00:00:13
   260         2.3014    00:00:00:13
   270         2.2938    00:00:00:14
   280         2.3061    00:00:00:14
   290         2.3000    00:00:00:14
   300         2.3051    00:00:00:14
   310         2.3027    00:00:00:15
   320         2.2901    00:00:00:15
   330         2.2935    00:00:00:15
   340         2.2985    00:00:00:15
   350         2.2989    00:00:00:16
   360         2.3015    00:00:00:16
   370         2.2971    00:00:00:16
   380         2.2952    00:00:00:16
   390         2.2999    00:00:00:17
   400         2.3012    00:00:00:17
   410         2.2971    00:00:00:17
   420         2.2990    00:00:00:17
   430         2.3015    00:00:00:18
   440         2.3052    00:00:00:18
   450         2.2956    00:00:00:19
   460         2.2996    00:00:00:19
   470         2.3011    00:00:00:19
   480         2.2935    00:00:00:19
   490         2.3010    00:00:00:20
   500         2.2935    00:00:00:20
   510         2.2951    00:00:00:20
   520         2.2949    00:00:00:20
   530         2.2945    00:00:00:21
   540         2.2976    00:00:00:21
   550         2.3018    00:00:00:21
   560         2.3050    00:00:00:21
   570         2.3019    00:00:00:22
   580         2.2940    00:00:00:22
   590         2.2956    00:00:00:22
   600         2.2957    00:00:00:22
   610         2.2954    00:00:00:23
   620         2.2923    00:00:00:23
   630         2.2879    00:00:00:23
   640         2.2918    00:00:00:23
   650         2.2897    00:00:00:24
   660         2.2930    00:00:00:24
   670         2.2862    00:00:00:24
   680         2.2991    00:00:00:24
   690         2.2920    00:00:00:25
   700         2.2993    00:00:00:25
   710         2.2854    00:00:00:25
   720         2.2901    00:00:00:25
   730         2.3058    00:00:00:26
   740         2.2935    00:00:00:26
   750         2.2824    00:00:00:26
   760         2.2827    00:00:00:27
   770         2.2771    00:00:00:27
   780         2.2711    00:00:00:27
   782         2.2901    00:00:00:59
   792         2.2839    00:00:00:59
   802         2.2828    00:00:01:00
   812         2.2756    00:00:01:00
   822         2.2794    00:00:01:00
   832         2.2868    00:00:01:00
   842         2.2870    00:00:01:00
   852         2.2807    00:00:01:01
   862         2.2757    00:00:01:01
   872         2.2581    00:00:01:01
   882         2.2857    00:00:01:01
   892         2.2963    00:00:01:02
   902         2.2336    00:00:01:02
   912         2.2776    00:00:01:02
   922         2.2571    00:00:01:02
   932         2.2630    00:00:01:03
   942         2.2681    00:00:01:03
   952         2.2850    00:00:01:04
   962         2.2721    00:00:01:04
   972         2.2583    00:00:01:05
   982         2.2914    00:00:01:05
   992         2.2783    00:00:01:05
  1002         2.2665    00:00:01:05
  1012         2.2414    00:00:01:05
