 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        66.4608         0.9316        66.5428         0.9312    00:00:05:25
     2        72.6785         0.7847        72.4222         0.7936    00:00:10:14
     3        74.8276         0.7121        74.2470         0.7262    00:00:15:01
     4        76.7554         0.6568        76.1107         0.6806    00:00:19:42
     5        77.6388         0.6309        76.5434         0.6651    00:00:24:24
     6        78.2743         0.6060        76.9427         0.6527    00:00:29:08
     7        79.1905         0.5851        77.2034         0.6398    00:00:33:45
     8        79.3568         0.5773        77.6915         0.6346    00:00:38:22
     9        80.1491         0.5535        77.6360         0.6252    00:00:42:59
    10        80.8355         0.5396        77.7303         0.6205    00:00:47:35
    11        79.9754         0.5558        76.8040         0.6508    00:00:52:11
    12        81.5960         0.5159        78.2628         0.6206    00:00:56:50
    13        81.7666         0.5044        78.5401         0.6143    00:01:01:30
    14        82.5748         0.4863        78.4514         0.6146    00:01:06:07
    15        82.8035         0.4849        77.9245         0.6180    00:01:10:44
    16        83.1393         0.4721        78.3349         0.6205    00:01:15:27
    17        83.2442         0.4707        78.0520         0.6316    00:01:20:05
    18        83.5312         0.4587        78.0021         0.6303    00:01:24:43
    19        84.0651         0.4475        77.7026         0.6325    00:01:29:22
    20        84.3479         0.4342        78.3238         0.6268    00:01:33:59
    21        84.5830         0.4286        77.7858         0.6396    00:01:38:38
    22        84.6752         0.4275        77.9134         0.6505    00:01:43:18
    23        85.4008         0.4114        77.8579         0.6386    00:01:47:56
    24        85.2874         0.4057        78.0243         0.6558    00:01:52:35
    25        85.8859         0.3917        77.9245         0.6614    00:01:57:14
    26        85.9621         0.3939        77.5695         0.6748    00:02:01:54
    27        86.1941         0.3827        77.8024         0.6716    00:02:06:32
    28        86.8233         0.3685        78.0520         0.6741    00:02:11:11
    29        87.0087         0.3647        77.4474         0.6859    00:02:15:54
    30        86.5352         0.3705        77.3310         0.6974    00:02:20:32
